image_name,label
18.Buy,Buy
20.Buy,Buy
22.Buy,Buy
26.Sell,Sell
27.Sell,Sell
28.Sell,Sell
29.Sell,Sell
30.Sell,Sell
41.Sell,Sell
42.Sell,Sell
43.Sell,Sell
44.Sell,Sell
46.Sell,Sell
57.Buy,Buy
62.Sell,Sell
63.Sell,Sell
64.Sell,Sell
65.Sell,Sell
66.Sell,Sell
69.Sell,Sell
70.Sell,Sell
71.Sell,Sell
72.Sell,Sell
73.Sell,Sell
87.Sell,Sell
90.Buy,Buy
92.Buy,Buy
94.Buy,Buy
96.Buy,Buy
98.Buy,Buy
106.Sell,Sell
107.Sell,Sell
130.Sell,Sell
131.Sell,Sell
132.Sell,Sell
140.Sell,Sell
146.Sell,Sell
147.Sell,Sell
148.Sell,Sell
149.Sell,Sell
150.Sell,Sell
151.Sell,Sell
152.Sell,Sell
161.Sell,Sell
162.Sell,Sell
163.Sell,Sell
164.Sell,Sell
176.Sell,Sell
192.Sell,Sell
193.Sell,Sell
199.Sell,Sell
200.Sell,Sell
201.Sell,Sell
202.Sell,Sell
204.Sell,Sell
205.Sell,Sell
206.Sell,Sell
207.Sell,Sell
208.Sell,Sell
218.Sell,Sell
219.Sell,Sell
220.Sell,Sell
221.Sell,Sell
222.Sell,Sell
225.Sell,Sell
226.Sell,Sell
227.Sell,Sell
228.Sell,Sell
229.Sell,Sell
230.Sell,Sell
232.Sell,Sell
238.Sell,Sell
246.Sell,Sell
248.Sell,Sell
249.Sell,Sell
250.Sell,Sell
252.Sell,Sell
254.Sell,Sell
259.Buy,Buy
286.Sell,Sell
289.Sell,Sell
292.Sell,Sell
293.Sell,Sell
294.Sell,Sell
295.Sell,Sell
296.Sell,Sell
297.Sell,Sell
298.Sell,Sell
301.Sell,Sell
302.Sell,Sell
303.Sell,Sell
304.Sell,Sell
305.Sell,Sell
306.Sell,Sell
308.Sell,Sell
325.Sell,Sell
326.Sell,Sell
344.Buy,Buy
361.Sell,Sell
364.Buy,Buy
370.Sell,Sell
376.Buy,Buy
378.Buy,Buy
386.Buy,Buy
395.Sell,Sell
396.Sell,Sell
397.Sell,Sell
398.Sell,Sell
399.Sell,Sell
408.Sell,Sell
460.Sell,Sell
462.Sell,Sell
463.Sell,Sell
464.Sell,Sell
469.Buy,Buy
471.Buy,Buy
481.Sell,Sell
487.Sell,Sell
488.Sell,Sell
490.Sell,Sell
494.Sell,Sell
495.Sell,Sell
496.Sell,Sell
497.Sell,Sell
498.Sell,Sell
499.Sell,Sell
500.Sell,Sell
501.Sell,Sell
514.Sell,Sell
515.Sell,Sell
516.Sell,Sell
517.Sell,Sell
518.Sell,Sell
520.Sell,Sell
542.Buy,Buy
561.Buy,Buy
598.Sell,Sell
599.Sell,Sell
613.Sell,Sell
614.Sell,Sell
615.Sell,Sell
616.Sell,Sell
653.Sell,Sell
654.Sell,Sell
655.Sell,Sell
656.Sell,Sell
663.Sell,Sell
677.Buy,Buy
682.Sell,Sell
691.Sell,Sell
693.Sell,Sell
699.Sell,Sell
700.Sell,Sell
704.Sell,Sell
705.Sell,Sell
706.Sell,Sell
707.Sell,Sell
746.Sell,Sell
752.Sell,Sell
754.Sell,Sell
767.Sell,Sell
774.Sell,Sell
776.Sell,Sell
779.Sell,Sell
780.Sell,Sell
781.Sell,Sell
782.Sell,Sell
783.Sell,Sell
786.Sell,Sell
794.Sell,Sell
795.Sell,Sell
796.Sell,Sell
797.Sell,Sell
798.Sell,Sell
836.Sell,Sell
849.Sell,Sell
850.Sell,Sell
851.Sell,Sell
853.Sell,Sell
855.Sell,Sell
856.Sell,Sell
857.Sell,Sell
858.Sell,Sell
874.Sell,Sell
875.Sell,Sell
887.Sell,Sell
888.Sell,Sell
897.Sell,Sell
898.Sell,Sell
903.Sell,Sell
904.Sell,Sell
939.Sell,Sell
953.Sell,Sell
956.Sell,Sell
957.Sell,Sell
982.Sell,Sell
1022.Sell,Sell
1023.Sell,Sell
1024.Sell,Sell
1025.Sell,Sell
1031.Sell,Sell
1035.Sell,Sell
1036.Sell,Sell
1037.Sell,Sell
1038.Sell,Sell
1039.Sell,Sell
1057.Sell,Sell
1067.Sell,Sell
1068.Sell,Sell
1069.Sell,Sell
1070.Sell,Sell
1086.Sell,Sell
1093.Sell,Sell
1155.Sell,Sell
1166.Sell,Sell
1224.Sell,Sell
1232.Sell,Sell
1244.Sell,Sell
1245.Sell,Sell
1246.Sell,Sell
1247.Sell,Sell
1261.Sell,Sell
1268.Sell,Sell
1269.Sell,Sell
1270.Sell,Sell
1272.Sell,Sell
1274.Sell,Sell
1275.Sell,Sell
1276.Sell,Sell
1277.Sell,Sell
1278.Sell,Sell
1288.Sell,Sell
1289.Sell,Sell
1335.Sell,Sell
1336.Sell,Sell
1337.Sell,Sell
1338.Sell,Sell
1339.Sell,Sell
1340.Sell,Sell
1343.Sell,Sell
1344.Sell,Sell
1346.Sell,Sell
1354.Buy,Buy
1356.Buy,Buy
1359.Buy,Buy
1366.Sell,Sell
1367.Sell,Sell
1368.Sell,Sell
1369.Sell,Sell
1370.Sell,Sell
1371.Sell,Sell
1372.Sell,Sell
1373.Sell,Sell
1374.Sell,Sell
1375.Sell,Sell
1377.Sell,Sell
1378.Sell,Sell
1379.Sell,Sell
1380.Sell,Sell
1381.Sell,Sell
1398.Sell,Sell
1403.Buy,Buy
1433.Buy,Buy
1450.Sell,Sell
1451.Sell,Sell
1464.Sell,Sell
1466.Sell,Sell
1467.Sell,Sell
1468.Sell,Sell
1499.Sell,Sell
1531.Sell,Sell
1532.Sell,Sell
1533.Sell,Sell
1539.Buy,Buy
1541.Buy,Buy
1567.Sell,Sell
1605.Sell,Sell
1615.Sell,Sell
1674.Sell,Sell
1686.Sell,Sell
1687.Sell,Sell
1688.Sell,Sell
1689.Sell,Sell
1690.Sell,Sell
1704.Sell,Sell
1706.Sell,Sell
1707.Sell,Sell
1714.Sell,Sell
1731.Sell,Sell
1735.Sell,Sell
1737.Sell,Sell
1738.Sell,Sell
1739.Sell,Sell
1764.Sell,Sell
1770.Sell,Sell
1771.Sell,Sell
1772.Sell,Sell
1773.Sell,Sell
1774.Sell,Sell
1784.Sell,Sell
1813.Sell,Sell
1814.Sell,Sell
1815.Sell,Sell
1816.Sell,Sell
1817.Sell,Sell
1818.Sell,Sell
1819.Sell,Sell
1820.Sell,Sell
1821.Sell,Sell
1822.Sell,Sell
1840.Sell,Sell
1841.Sell,Sell
1845.Buy,Buy
1852.Buy,Buy
1854.Buy,Buy
1856.Buy,Buy
1861.Sell,Sell
1862.Sell,Sell
1864.Buy,Buy
1866.Buy,Buy
1868.Buy,Buy
1870.Buy,Buy
1872.Buy,Buy
1876.Sell,Sell
1877.Sell,Sell
1879.Sell,Sell
1880.Sell,Sell
1882.Sell,Sell
1883.Sell,Sell
1884.Sell,Sell
1885.Sell,Sell
1898.Buy,Buy
1900.Buy,Buy
1906.Sell,Sell
1911.Sell,Sell
1913.Sell,Sell
1914.Sell,Sell
1915.Sell,Sell
1949.Sell,Sell
1950.Sell,Sell
1951.Sell,Sell
1952.Sell,Sell
1953.Sell,Sell
1954.Sell,Sell
1957.Sell,Sell
1970.Sell,Sell
1971.Sell,Sell
1972.Sell,Sell
1973.Sell,Sell
1974.Sell,Sell
1995.Sell,Sell
2002.Sell,Sell
2003.Sell,Sell
2004.Sell,Sell
2005.Sell,Sell
2016.Sell,Sell
2017.Sell,Sell
2020.Sell,Sell
2030.Sell,Sell
2031.Sell,Sell
2032.Sell,Sell
2033.Sell,Sell
2034.Sell,Sell
2041.Sell,Sell
2042.Sell,Sell
2043.Sell,Sell
2044.Sell,Sell
2045.Sell,Sell
2046.Sell,Sell
2047.Sell,Sell
2048.Sell,Sell
2049.Sell,Sell
2050.Sell,Sell
2051.Sell,Sell
2052.Sell,Sell
2053.Sell,Sell
2054.Sell,Sell
2063.Buy,Buy
2073.Sell,Sell
2074.Sell,Sell
2076.Sell,Sell
2077.Sell,Sell
2078.Sell,Sell
2079.Sell,Sell
2080.Sell,Sell
2081.Sell,Sell
2082.Sell,Sell
2086.Buy,Buy
2088.Buy,Buy
2101.Sell,Sell
2102.Sell,Sell
2103.Sell,Sell
2111.Sell,Sell
2112.Sell,Sell
2113.Sell,Sell
2114.Sell,Sell
2134.Sell,Sell
2135.Sell,Sell
2151.Sell,Sell
2152.Sell,Sell
2153.Sell,Sell
2154.Sell,Sell
2155.Sell,Sell
2159.Sell,Sell
2160.Sell,Sell
2161.Sell,Sell
2162.Sell,Sell
2163.Sell,Sell
2165.Buy,Buy
2167.Buy,Buy
2169.Buy,Buy
2171.Buy,Buy
2173.Sell,Sell
2174.Sell,Sell
2175.Sell,Sell
2176.Sell,Sell
2177.Sell,Sell
2178.Sell,Sell
2180.Sell,Sell
2181.Sell,Sell
2182.Sell,Sell
2183.Sell,Sell
2184.Sell,Sell
2187.Buy,Buy
2191.Sell,Sell
2204.Sell,Sell
2205.Sell,Sell
2206.Sell,Sell
2207.Sell,Sell
2208.Sell,Sell
2209.Sell,Sell
2210.Sell,Sell
2226.Buy,Buy
2232.Sell,Sell
2235.Sell,Sell
2236.Sell,Sell
2237.Sell,Sell
2238.Sell,Sell
2239.Sell,Sell
2246.Sell,Sell
2247.Sell,Sell
2248.Sell,Sell
2249.Sell,Sell
2250.Sell,Sell
2251.Sell,Sell
2252.Sell,Sell
2253.Sell,Sell
2254.Sell,Sell
2255.Sell,Sell
2256.Sell,Sell
2269.Buy,Buy
2271.Buy,Buy
2281.Sell,Sell
2282.Sell,Sell
2293.Buy,Buy
2298.Sell,Sell
2302.Sell,Sell
2304.Sell,Sell
2305.Sell,Sell
2306.Sell,Sell
2307.Sell,Sell
2308.Sell,Sell
2310.Sell,Sell
2317.Sell,Sell
2320.Sell,Sell
2321.Sell,Sell
2327.Buy,Buy
2330.Buy,Buy
2332.Buy,Buy
2357.Sell,Sell
2358.Sell,Sell
2359.Sell,Sell
2360.Sell,Sell
2361.Sell,Sell
2362.Sell,Sell
2364.Sell,Sell
2371.Buy,Buy
2385.Sell,Sell
2392.Buy,Buy
2395.Buy,Buy
2397.Buy,Buy
2423.Sell,Sell
2424.Sell,Sell
2433.Sell,Sell
2434.Sell,Sell
2435.Sell,Sell
2436.Sell,Sell
2437.Sell,Sell
2440.Sell,Sell
2446.Buy,Buy
2448.Buy,Buy
2450.Buy,Buy
2456.Sell,Sell
2477.Sell,Sell
2478.Sell,Sell
2479.Sell,Sell
2480.Sell,Sell
2486.Sell,Sell
2506.Buy,Buy
2508.Buy,Buy
2510.Buy,Buy
2513.Buy,Buy
2520.Sell,Sell
2522.Sell,Sell
2523.Sell,Sell
2524.Sell,Sell
2525.Sell,Sell
2526.Sell,Sell
2527.Sell,Sell
2551.Sell,Sell
2574.Sell,Sell
2599.Buy,Buy
2601.Buy,Buy
2606.Buy,Buy
2609.Buy,Buy
2617.Sell,Sell
2618.Sell,Sell
2619.Sell,Sell
2620.Sell,Sell
2629.Sell,Sell
2633.Sell,Sell
2634.Sell,Sell
2635.Sell,Sell
2656.Sell,Sell
2670.Sell,Sell
2671.Sell,Sell
2672.Sell,Sell
2673.Sell,Sell
2674.Sell,Sell
2675.Sell,Sell
2676.Sell,Sell
2677.Sell,Sell
2678.Sell,Sell
2679.Sell,Sell
2680.Sell,Sell
2681.Sell,Sell
2693.Sell,Sell
2695.Sell,Sell
2697.Sell,Sell
