image_name,label
1.Hold,Hold
2.Hold,Hold
3.Hold,Hold
4.Hold,Hold
5.Hold,Hold
6.Hold,Hold
7.Hold,Hold
8.Hold,Hold
9.Hold,Hold
10.Hold,Hold
11.Hold,Hold
12.Hold,Hold
13.Hold,Hold
14.Hold,Hold
15.Hold,Hold
16.Hold,Hold
17.Buy,Buy
18.Buy,Buy
19.Buy,Buy
20.Hold,Hold
21.Hold,Hold
22.Sell,Sell
23.Sell,Sell
24.Sell,Sell
25.Sell,Sell
26.Sell,Sell
27.Hold,Hold
28.Hold,Hold
29.Hold,Hold
30.Hold,Hold
31.Hold,Hold
32.Hold,Hold
33.Hold,Hold
34.Hold,Hold
35.Hold,Hold
36.Hold,Hold
37.Sell,Sell
38.Sell,Sell
39.Sell,Sell
40.Sell,Sell
41.Hold,Hold
42.Sell,Sell
43.Hold,Hold
44.Hold,Hold
45.Hold,Hold
46.Hold,Hold
47.Hold,Hold
48.Hold,Hold
49.Hold,Hold
50.Hold,Hold
51.Hold,Hold
52.Hold,Hold
53.Buy,Buy
54.Hold,Hold
55.Hold,Hold
56.Hold,Hold
57.Sell,Sell
58.Sell,Sell
59.Sell,Sell
60.Sell,Sell
61.Sell,Sell
62.Hold,Hold
63.Hold,Hold
64.Sell,Sell
65.Sell,Sell
66.Sell,Sell
67.Sell,Sell
68.Sell,Sell
69.Hold,Hold
70.Hold,Hold
71.Hold,Hold
72.Hold,Hold
73.Hold,Hold
74.Hold,Hold
75.Hold,Hold
76.Hold,Hold
77.Hold,Hold
78.Hold,Hold
79.Hold,Hold
80.Hold,Hold
81.Hold,Hold
82.Sell,Sell
83.Hold,Hold
84.Hold,Hold
85.Buy,Buy
86.Buy,Buy
87.Buy,Buy
88.Buy,Buy
89.Buy,Buy
90.Hold,Hold
91.Hold,Hold
92.Hold,Hold
93.Hold,Hold
94.Hold,Hold
95.Hold,Hold
96.Sell,Sell
97.Sell,Sell
98.Hold,Hold
99.Hold,Hold
100.Hold,Hold
101.Hold,Hold
102.Hold,Hold
103.Hold,Hold
104.Hold,Hold
105.Hold,Hold
106.Hold,Hold
107.Hold,Hold
108.Hold,Hold
109.Hold,Hold
110.Hold,Hold
111.Hold,Hold
112.Hold,Hold
113.Hold,Hold
114.Hold,Hold
115.Hold,Hold
116.Hold,Hold
117.Hold,Hold
118.Hold,Hold
119.Hold,Hold
120.Sell,Sell
121.Sell,Sell
122.Sell,Sell
123.Hold,Hold
124.Hold,Hold
125.Hold,Hold
126.Hold,Hold
127.Hold,Hold
128.Hold,Hold
129.Hold,Hold
130.Sell,Sell
131.Hold,Hold
132.Hold,Hold
133.Hold,Hold
134.Hold,Hold
135.Hold,Hold
136.Sell,Sell
137.Sell,Sell
138.Sell,Sell
139.Sell,Sell
140.Sell,Sell
141.Sell,Sell
142.Sell,Sell
143.Hold,Hold
144.Hold,Hold
145.Hold,Hold
146.Hold,Hold
147.Hold,Hold
148.Hold,Hold
149.Hold,Hold
150.Hold,Hold
151.Sell,Sell
152.Sell,Sell
153.Sell,Sell
154.Sell,Sell
155.Hold,Hold
156.Hold,Hold
157.Hold,Hold
158.Hold,Hold
159.Hold,Hold
160.Hold,Hold
161.Hold,Hold
162.Hold,Hold
163.Hold,Hold
164.Hold,Hold
165.Hold,Hold
166.Sell,Sell
167.Hold,Hold
168.Hold,Hold
169.Hold,Hold
170.Hold,Hold
171.Hold,Hold
172.Hold,Hold
173.Hold,Hold
174.Hold,Hold
175.Hold,Hold
176.Hold,Hold
177.Hold,Hold
178.Hold,Hold
179.Hold,Hold
180.Hold,Hold
181.Hold,Hold
182.Sell,Sell
183.Sell,Sell
184.Hold,Hold
185.Hold,Hold
186.Hold,Hold
187.Hold,Hold
188.Hold,Hold
189.Sell,Sell
190.Sell,Sell
191.Sell,Sell
192.Sell,Sell
193.Hold,Hold
194.Sell,Sell
195.Sell,Sell
196.Sell,Sell
197.Sell,Sell
198.Sell,Sell
199.Hold,Hold
200.Hold,Hold
201.Hold,Hold
202.Hold,Hold
203.Hold,Hold
204.Hold,Hold
205.Hold,Hold
206.Hold,Hold
207.Hold,Hold
208.Sell,Sell
209.Sell,Sell
210.Sell,Sell
211.Sell,Sell
212.Sell,Sell
213.Hold,Hold
214.Hold,Hold
215.Sell,Sell
216.Sell,Sell
217.Sell,Sell
218.Sell,Sell
219.Sell,Sell
220.Sell,Sell
221.Hold,Hold
222.Sell,Sell
223.Hold,Hold
224.Hold,Hold
225.Hold,Hold
226.Hold,Hold
227.Hold,Hold
228.Sell,Sell
229.Hold,Hold
230.Hold,Hold
231.Hold,Hold
232.Hold,Hold
233.Hold,Hold
234.Hold,Hold
235.Hold,Hold
236.Sell,Sell
237.Hold,Hold
238.Sell,Sell
239.Sell,Sell
240.Sell,Sell
241.Hold,Hold
242.Sell,Sell
243.Hold,Hold
244.Sell,Sell
245.Hold,Hold
246.Hold,Hold
247.Hold,Hold
248.Hold,Hold
249.Buy,Buy
250.Hold,Hold
251.Hold,Hold
252.Hold,Hold
253.Hold,Hold
254.Hold,Hold
255.Hold,Hold
256.Hold,Hold
257.Hold,Hold
258.Hold,Hold
259.Hold,Hold
260.Hold,Hold
261.Hold,Hold
262.Hold,Hold
263.Hold,Hold
264.Hold,Hold
265.Hold,Hold
266.Hold,Hold
267.Hold,Hold
268.Hold,Hold
269.Hold,Hold
270.Hold,Hold
271.Hold,Hold
272.Hold,Hold
273.Hold,Hold
274.Hold,Hold
275.Sell,Sell
276.Hold,Hold
277.Hold,Hold
278.Sell,Sell
279.Hold,Hold
280.Hold,Hold
281.Sell,Sell
282.Sell,Sell
283.Sell,Sell
284.Sell,Sell
285.Sell,Sell
286.Sell,Sell
287.Sell,Sell
288.Hold,Hold
289.Hold,Hold
290.Sell,Sell
291.Sell,Sell
292.Sell,Sell
293.Sell,Sell
294.Sell,Sell
295.Sell,Sell
296.Hold,Hold
297.Sell,Sell
298.Hold,Hold
299.Hold,Hold
300.Hold,Hold
301.Hold,Hold
302.Hold,Hold
303.Hold,Hold
304.Hold,Hold
305.Hold,Hold
306.Hold,Hold
307.Hold,Hold
308.Hold,Hold
309.Hold,Hold
310.Hold,Hold
311.Hold,Hold
312.Hold,Hold
313.Hold,Hold
314.Sell,Sell
315.Sell,Sell
316.Hold,Hold
317.Hold,Hold
318.Hold,Hold
319.Hold,Hold
320.Hold,Hold
321.Hold,Hold
322.Hold,Hold
323.Hold,Hold
324.Hold,Hold
325.Hold,Hold
326.Hold,Hold
327.Hold,Hold
328.Hold,Hold
329.Hold,Hold
330.Hold,Hold
331.Hold,Hold
332.Hold,Hold
333.Buy,Buy
334.Hold,Hold
335.Hold,Hold
336.Hold,Hold
337.Hold,Hold
338.Hold,Hold
339.Hold,Hold
340.Hold,Hold
341.Hold,Hold
342.Hold,Hold
343.Hold,Hold
344.Hold,Hold
345.Hold,Hold
346.Hold,Hold
347.Hold,Hold
348.Hold,Hold
349.Sell,Sell
350.Hold,Hold
351.Hold,Hold
352.Buy,Buy
353.Hold,Hold
354.Hold,Hold
355.Hold,Hold
356.Hold,Hold
357.Sell,Sell
358.Hold,Hold
359.Hold,Hold
360.Hold,Hold
361.Hold,Hold
362.Hold,Hold
363.Buy,Buy
364.Buy,Buy
365.Hold,Hold
366.Hold,Hold
367.Hold,Hold
368.Hold,Hold
369.Hold,Hold
370.Hold,Hold
371.Buy,Buy
372.Hold,Hold
373.Hold,Hold
374.Hold,Hold
375.Hold,Hold
376.Hold,Hold
377.Hold,Hold
378.Hold,Hold
379.Sell,Sell
380.Sell,Sell
381.Sell,Sell
382.Sell,Sell
383.Sell,Sell
384.Hold,Hold
385.Hold,Hold
386.Hold,Hold
387.Hold,Hold
388.Hold,Hold
389.Hold,Hold
390.Hold,Hold
391.Hold,Hold
392.Sell,Sell
393.Hold,Hold
394.Hold,Hold
395.Hold,Hold
396.Hold,Hold
397.Hold,Hold
398.Hold,Hold
399.Hold,Hold
400.Hold,Hold
401.Hold,Hold
402.Hold,Hold
403.Hold,Hold
404.Hold,Hold
405.Hold,Hold
406.Hold,Hold
407.Hold,Hold
408.Hold,Hold
409.Hold,Hold
410.Hold,Hold
411.Hold,Hold
412.Hold,Hold
413.Hold,Hold
414.Hold,Hold
415.Hold,Hold
416.Hold,Hold
417.Hold,Hold
418.Hold,Hold
419.Hold,Hold
420.Hold,Hold
421.Hold,Hold
422.Hold,Hold
423.Hold,Hold
424.Hold,Hold
425.Hold,Hold
426.Hold,Hold
427.Hold,Hold
428.Hold,Hold
429.Hold,Hold
430.Hold,Hold
431.Hold,Hold
432.Hold,Hold
433.Hold,Hold
434.Hold,Hold
435.Hold,Hold
436.Hold,Hold
437.Hold,Hold
438.Hold,Hold
439.Hold,Hold
440.Hold,Hold
441.Hold,Hold
442.Hold,Hold
443.Hold,Hold
444.Sell,Sell
445.Hold,Hold
446.Sell,Sell
447.Sell,Sell
448.Sell,Sell
449.Hold,Hold
450.Hold,Hold
451.Hold,Hold
452.Hold,Hold
453.Buy,Buy
454.Buy,Buy
455.Hold,Hold
456.Hold,Hold
457.Hold,Hold
458.Hold,Hold
459.Hold,Hold
460.Hold,Hold
461.Hold,Hold
462.Hold,Hold
463.Sell,Sell
464.Hold,Hold
465.Hold,Hold
466.Hold,Hold
467.Hold,Hold
468.Hold,Hold
469.Sell,Sell
470.Sell,Sell
471.Hold,Hold
472.Sell,Sell
473.Hold,Hold
474.Hold,Hold
475.Hold,Hold
476.Sell,Sell
477.Sell,Sell
478.Sell,Sell
479.Sell,Sell
480.Sell,Sell
481.Sell,Sell
482.Sell,Sell
483.Sell,Sell
484.Hold,Hold
485.Hold,Hold
486.Hold,Hold
487.Hold,Hold
488.Hold,Hold
489.Hold,Hold
490.Hold,Hold
491.Hold,Hold
492.Hold,Hold
493.Hold,Hold
494.Hold,Hold
495.Hold,Hold
496.Sell,Sell
497.Sell,Sell
498.Sell,Sell
499.Sell,Sell
500.Sell,Sell
501.Hold,Hold
502.Sell,Sell
503.Hold,Hold
504.Hold,Hold
505.Hold,Hold
506.Hold,Hold
507.Hold,Hold
508.Hold,Hold
509.Hold,Hold
510.Hold,Hold
511.Hold,Hold
512.Hold,Hold
513.Hold,Hold
514.Hold,Hold
515.Hold,Hold
516.Hold,Hold
517.Hold,Hold
518.Hold,Hold
519.Hold,Hold
520.Hold,Hold
521.Hold,Hold
522.Hold,Hold
523.Hold,Hold
524.Buy,Buy
525.Hold,Hold
526.Hold,Hold
527.Hold,Hold
528.Hold,Hold
529.Hold,Hold
530.Hold,Hold
531.Hold,Hold
532.Hold,Hold
533.Hold,Hold
534.Hold,Hold
535.Hold,Hold
536.Hold,Hold
537.Hold,Hold
538.Hold,Hold
539.Hold,Hold
540.Hold,Hold
541.Hold,Hold
542.Buy,Buy
543.Hold,Hold
544.Hold,Hold
545.Hold,Hold
546.Hold,Hold
547.Hold,Hold
548.Hold,Hold
549.Hold,Hold
550.Hold,Hold
551.Hold,Hold
552.Hold,Hold
553.Hold,Hold
554.Hold,Hold
555.Hold,Hold
556.Hold,Hold
557.Hold,Hold
558.Hold,Hold
559.Hold,Hold
560.Hold,Hold
561.Hold,Hold
562.Hold,Hold
563.Hold,Hold
564.Hold,Hold
565.Hold,Hold
566.Hold,Hold
567.Hold,Hold
568.Hold,Hold
569.Hold,Hold
570.Hold,Hold
571.Hold,Hold
572.Hold,Hold
573.Hold,Hold
574.Hold,Hold
575.Hold,Hold
576.Hold,Hold
577.Hold,Hold
578.Sell,Sell
579.Sell,Sell
580.Hold,Hold
581.Hold,Hold
582.Hold,Hold
583.Hold,Hold
584.Hold,Hold
585.Hold,Hold
586.Hold,Hold
587.Hold,Hold
588.Hold,Hold
589.Hold,Hold
590.Hold,Hold
591.Hold,Hold
592.Hold,Hold
593.Sell,Sell
594.Sell,Sell
595.Sell,Sell
596.Sell,Sell
597.Hold,Hold
598.Hold,Hold
599.Hold,Hold
